word,reason,match_type
完璧,【特定用語の使用基準】「完璧」「完全」などの客観的根拠に乏しい絶対的表現は使用が禁止されています。（不動産公正競争規約 第18条）,exact
絶対,【特定用語の使用基準】「絶対」などの客観的根拠に乏しい絶対的表現は使用が禁止されています。（不動産公正競争規約 第18条）,exact
日本一,【特定用語の使用基準】「日本一」「日本初」は、客観的根拠（調査機関やデータ等）を併記しない限り使用できません。,exact
最高,【特定用語の使用基準】「最高」「最高級」などの最上級表現は、客観的根拠を示すデータがない限り使用できません。,exact
特選,【特定用語の使用基準】「特選」「厳選」は、一定の基準（例：自社物件の中で特に優れている等）を設け、その基準を明示しない限り使用できません。,exact
厳選,【特定用語の使用基準】「厳選」「特選」は、一定の基準を設け、その基準を明示しない限り使用できません。,exact
格安,【特定用語の使用基準】「格安」「激安」は、著しく安いという印象を与えます。具体的な比較対象（周辺相場など）や根拠の明示が必要です。,exact
激安,【特定用語の使用基準】「格安」「激安」は、具体的な比較対象や根拠の明示が必要です。,exact
掘り出し物,【著しく有利と誤認させる表現】「掘り出し物」という表現は原則として使用が禁止されています。（不動産公正競争規約 第18条）,exact
必ず儲かる,【断定的判断の提供の禁止】投資用物件などで利益を保証する（断定する）表現は禁止されています。（宅地建物取引業法 第47条の2）,exact
値上がり確実,【断定的判断の提供の禁止】将来の利益や値上がりを断定する表現は禁止されています。（宅地建物取引業法 第47条の2）,exact
完売,【おとり広告の防止】「完売」と表示した物件は広告に掲載できません（おとり広告とみなされます）。他の号室の広告であれば「〇号室は成約済み」等と正確に記載してください。,exact
日本初,【特定用語の使用基準】「日本初」「業界初」は、客観的根拠（調査機関やデータ等）を併記しない限り使用できません。,exact
業界初,【特定用語の使用基準】「日本初」「業界初」は、客観的根拠（調査機関やデータ等）を併記しない限り使用できません。,exact
超,【特定用語の使用基準】「超〇〇（例：超駅近、超激安）」という誇張表現は避け、具体的な数値や事実（例：駅から徒歩1分）を記載してください。,exact
破格,【著しく有利と誤認させる表現】「破格」「投売り」などの表現は、具体的な根拠がない場合は不当表示となるリスクがあります。,exact
徒歩\d+分,【表示基準の確認（距離と所要時間）】道路距離80mにつき1分間（端数切り上げ）で正しく計算されているか確認してください。また、信号の待ち時間などは含めず、敷地から最も近い駅の出入口を起点としてください。,regex
築\d+年,【表示基準の確認（築年数）】築年数の表記を検出しました。「新築」と表示できるのは、建築工事完了後1年未満かつ未入居の物件のみです。それ以外は「中古」または「築後未入居」となります。,regex
LDK\s*\d+(\.\d+)?[帖畳],【表示基準の確認（広さ）】LDKの帖数表記を検出しました。DK（ダイニングキッチン）とLDK（リビングダイニングキッチン）の最低必要な広さの目安（居室が1部屋ならLDKは8帖以上など）を満たしているか確認してください。,regex